unix_epoch_in_miliseconds,timezone_at_sync,bbi
1636617320142,-8,773
1636617320915,-8,797
1636617321712,-8,764
1636617322481,-8,787
1636617323268,-8,792
1636617324060,-8,767
1636617324827,-8,800
1636617325627,-8,787
1636617326415,-8,777
1636617327192,-8,808
1636617328000,-8,807
1636617328807,-8,775
1636617329582,-8,791
1636617330375,-8,805
1636617331180,-8,759
1636617331939,-8,804
1636617332743,-8,774
1636617333517,-8,781
1636617334305,-8,767
1636617335072,-8,799
1636617335871,-8,760
1636617336631,-8,790
1636617337421,-8,774
1636617338196,-8,804
1636617339000,-8,757
1636617339757,-8,790
1636617340547,-8,765
1636617341312,-8,766
1636617342872,-8,794
1636617343666,-8,768
1636617344434,-8,802
1636617345236,-8,806
1636617346046,-8,778
1636617346824,-8,795
1636617347619,-8,801
1636617348420,-8,761
1636617349181,-8,776
1636617349959,-8,789
1636617350748,-8,761
1636617351509,-8,774
1636617352283,-8,796
1636617353079,-8,759
1636617353839,-8,793
1636617354632,-8,801
1636617355433,-8,815
1636617356248,-8,775
1636617357023,-8,796
1636617357820,-8,800
1636617358620,-8,781
1636617359401,-8,784
1636617360185,-8,780
1636617360965,-8,768
1636617361738,-8,770
1636617362508,-8,760
1636617363268,-8,773
1636617364041,-8,786
1636617364827,-8,803
1636617365632,-8,768
1636617366400,-8,800
1636617367200,-8,797
1636617367997,-8,780
1636617368777,-8,787
1636617369567,-8,797
1636617370364,-8,762
1636617371126,-8,776
1636617371902,-8,768
1636617372670,-8,761
1636617373433,-8,759
1636617374192,-8,761
1636617374953,-8,792
1636617375745,-8,761
1636617376506,-8,764
1636617377275,-8,797
1636617378072,-8,781
1636617378853,-8,776
1636617379629,-8,783
1636617380412,-8,785
1636617381198,-8,754
1636617381952,-8,749
1636617382701,-8,756
1636617383457,-8,792
1636617384249,-8,791
1636617385844,-8,807
1636617386651,-8,793
1636617387444,-8,779
1636617388223,-8,810
1636617389037,-8,799
1636617389836,-8,779
1636617390615,-8,815
1636617391430,-8,778
1636617392208,-8,808
1636617393018,-8,762
1636617393780,-8,812
1636617394592,-8,763
1636617395355,-8,801
1636617396156,-8,775
1636617396934,-8,758
1636617397692,-8,749
1636617398441,-8,749
1636617399190,-8,753
1636617399943,-8,773
1636617400717,-8,763
1636617401480,-8,762
1636617402242,-8,801
1636617403043,-8,794
1636617403837,-8,772
1636617404616,-8,800
1636617405416,-8,810
1636617406226,-8,789
1636617407015,-8,782
1636617407797,-8,787
1636617409352,-8,772
1636617410124,-8,776
1636617410900,-8,767
1636617411667,-8,778
1636617412451,-8,805
1636617413256,-8,768
1636617414024,-8,834
1636617414858,-8,817
1636617415675,-8,788
1636617416464,-8,808
1636617417272,-8,800
1636617418072,-8,762
1636617418834,-8,765
1636617419599,-8,777
1636617420377,-8,743
1636617421120,-8,764
1636617421884,-8,762
1636617422646,-8,753
1636617423399,-8,757
1636617424357,-8,735
1636617425092,-8,749
1636617425841,-8,748
1636617426589,-8,772
1636617427361,-8,777
1636617428140,-8,772
1636617428912,-8,771
1636617429683,-8,773
1636617430456,-8,779
1636617431235,-8,788
1636617432025,-8,807
1636617432832,-8,847
1636617433679,-8,862
1636617434541,-8,890
1636617435431,-8,927
1636617436359,-8,929
1636617437288,-8,859
1636617438147,-8,791
1636617438938,-8,788
1636617439726,-8,761
1636617441188,-8,756
1636617441944,-8,766
1636617442710,-8,776
1636617443486,-8,763
1636617444251,-8,781
1636617445032,-8,787
1636617445819,-8,775
1636617446594,-8,767
1636617447361,-8,786
1636617449152,-8,760
1636617449912,-8,767
1636617450679,-8,766
1636617451445,-8,768
1636617452213,-8,737
1636617453472,-8,726
1636617454198,-8,751
1636617454949,-8,741
1636617455691,-8,725
1636617456416,-8,726
1636617457142,-8,750
1636617457892,-8,749
1636617458641,-8,783
1636617459426,-8,766
1636617460192,-8,758
1636617460950,-8,806
1636617461756,-8,767
1636617464099,-8,769
1636617464868,-8,757
1636617465625,-8,758
1636617466383,-8,771
1636617467154,-8,767
1636617467922,-8,766
1636617468688,-8,770
1636617469458,-8,774
1636617470232,-8,781
1636617471013,-8,796
1636617472616,-8,825
1636617473441,-8,859
1636617474300,-8,860
1636617475160,-8,854
1636617476020,-8,848
1636617476868,-8,809
1636617477677,-8,821
1636617478498,-8,800
1636617479298,-8,813
1636617481074,-8,822
1636617481896,-8,830
1636617482726,-8,811
1636617483537,-8,804
1636617484341,-8,793
1636617485136,-8,760
1636617485896,-8,808
1636617486704,-8,759
1636617487463,-8,763
1636617488226,-8,868
1636617489097,-8,775
1636617489872,-8,799
1636617490671,-8,806
1636617491477,-8,792
1636617492269,-8,795
1636617493068,-8,792
1636617493860,-8,784
1636617494644,-8,781
1636617495425,-8,789
1636617496214,-8,795
1636617497672,-8,771
1636617498443,-8,750
1636617499193,-8,730
1636617500640,-8,727
1636617501367,-8,744
